dist_bin,spearman_mean,spearman_std,spearman_sem,n,dist_mean,nrmse_mean
0-2.5k,0.3463463330484066,0.16381723877546087,0.02389520014119116,47,1458.6170212765958,46.220048719066526
2.5-5k,0.28238429771573564,0.2685936075678259,0.05726434954199819,22,3121.818181818182,43.97562222652106
5-7.5k,0.2783465469290619,0.06311449677485934,0.009979278159195344,40,6354.525,35.97140615779688
7.5-10k,0.25517971724518873,0.05759892001702004,0.01439973000425501,16,8577.625,32.647205715311955
10-15k,0.326460352845769,0.12535377942688603,0.015919945907168394,62,12135.612903225807,28.580346097468585
>15k,0.43300555082422215,0.2616764617019686,0.06756457188441382,15,15850.266666666666,27.14574905982476
