evaluaciones,generacion,min,promedio,desv_std,mediana,max,mejor_hasta_ahora,tiempo_s
200,1,51034374.0,53004740.5,815214.751170825,53045104.0,54762828.0,51034374.0,0.04234737501246855
300,2,50841482.0,52580054.92,778109.3222223942,52536451.0,54183872.0,50841482.0,0.06385829200735316
400,3,50841482.0,52280403.66,650647.115529028,52240001.0,53828000.0,50841482.0,0.08491141701233573
500,4,50841482.0,52131239.42,601668.837772494,52129350.0,53571284.0,50841482.0,0.10639741701015737
600,5,50346412.0,51878148.84,570103.2560722438,51906160.0,53356808.0,50346412.0,0.1278752080106642
700,6,50346412.0,51716964.34,551844.3585315016,51726538.0,53150446.0,50346412.0,0.14906120800878853
800,7,50346412.0,51641519.46,562963.8384336141,51656275.0,52911114.0,50346412.0,0.17046208299871068
900,8,50346412.0,51533664.2,498103.84912052227,51576362.0,52592986.0,50346412.0,0.19132616701244842
1000,9,50346412.0,51462504.02,474691.2434038358,51505312.0,52592986.0,50346412.0,0.21245595801156014
1100,10,50280934.0,51372414.94,458758.3800982347,51423021.0,52408524.0,50280934.0,0.2333847920090193
1200,11,50071898.0,51304389.5,457749.80770952813,51357076.0,52408524.0,50071898.0,0.254220417002216
1300,12,49855046.0,51237787.34,479810.73205121665,51303227.0,52221370.0,49855046.0,0.2752252500067698
1400,13,49855046.0,51149336.32,445459.4825260515,51124372.0,52144402.0,49855046.0,0.2964907499990659
1500,14,49855046.0,51099389.4,430573.09951036196,51102911.0,52095156.0,49855046.0,0.31743700000515673
1600,15,49855046.0,51068564.44,430232.7447937528,51032369.0,52095156.0,49855046.0,0.3388888330082409
1700,16,49855046.0,51028495.16,413176.9298927693,51010161.0,52095156.0,49855046.0,0.35969116700289305
1800,17,49855046.0,50971801.64,405500.59874060657,50953489.0,52095156.0,49855046.0,0.3805557080049766
1900,18,49855046.0,50926858.04,405074.53035005595,50939304.0,52009584.0,49855046.0,0.4015541670087259
2000,19,49855046.0,50844687.62,386047.2838004893,50840949.0,52009584.0,49855046.0,0.42232120801054407
2100,20,49715270.0,50785589.9,430843.18884275056,50802977.0,52009584.0,49715270.0,0.4432601670123404
2200,21,49607378.0,50714444.8,455025.784305549,50723743.0,52009584.0,49607378.0,0.46411191701190546
2300,22,49607378.0,50687028.04,449472.45017135184,50712787.0,51514546.0,49607378.0,0.48488600000564475
2400,23,49530192.0,50634799.98,430579.3234236401,50709295.0,51514546.0,49530192.0,0.5062708750047022
2500,24,49530192.0,50610292.28,437893.4335160572,50674556.0,51514546.0,49530192.0,0.5277344580099452
2600,25,49530192.0,50593767.72,446615.6929866231,50654303.0,51514546.0,49530192.0,0.5481662920064991
2700,26,49530192.0,50581526.1,456906.981567091,50651462.0,51514546.0,49530192.0,0.5690682080021361
2800,27,49530192.0,50561515.56,451287.56507624534,50631227.0,51512042.0,49530192.0,0.5901567500113742
2900,28,49530192.0,50507473.1,437149.2288001776,50579034.0,51473622.0,49530192.0,0.6108984580059769
