funcid,dim,milestone,error
12,100,1,1.582073e+10
12,100,2,2.538826e+09
12,100,3,9.827212e+08
12,100,1,1.510225e+10
12,100,2,3.099466e+09
12,100,3,6.660113e+08
12,100,1,5.615150e+09
12,100,2,1.097774e+09
12,100,3,4.324405e+08
12,100,1,3.265469e+10
12,100,2,7.777975e+09
12,100,3,9.914309e+08
12,100,1,1.773299e+10
12,100,2,2.719463e+09
12,100,3,5.696712e+08
12,100,1,2.193975e+10
12,100,2,5.333655e+09
12,100,3,1.480766e+09
12,100,1,2.390087e+10
12,100,2,4.772336e+09
12,100,3,5.686478e+08
12,100,1,6.613015e+10
12,100,2,2.613085e+10
12,100,3,7.005310e+09
12,100,1,2.064612e+10
12,100,2,4.384035e+09
12,100,3,9.877639e+08
12,100,1,2.051267e+10
12,100,2,3.022825e+09
12,100,3,4.286601e+08
12,100,1,3.439055e+10
12,100,2,9.875726e+09
12,100,3,1.418186e+09
12,100,1,1.471151e+10
12,100,2,1.807465e+09
12,100,3,6.808713e+08
12,100,1,2.053082e+10
12,100,2,4.218384e+09
12,100,3,8.987050e+08
12,100,1,2.531989e+10
12,100,2,6.799468e+09
12,100,3,1.542552e+09
12,100,1,2.440772e+10
12,100,2,4.893995e+09
12,100,3,4.065163e+08
12,100,1,1.657700e+10
12,100,2,2.944352e+09
12,100,3,1.251679e+09
12,100,1,4.559666e+09
12,100,2,1.070754e+09
12,100,3,5.170574e+08
12,100,1,9.853698e+09
12,100,2,2.249453e+09
12,100,3,9.001437e+08
12,100,1,5.647334e+09
12,100,2,9.464302e+08
12,100,3,2.511045e+08
12,100,1,1.709751e+10
12,100,2,3.512564e+09
12,100,3,9.550770e+08
12,100,1,1.940000e+10
12,100,2,3.901151e+09
12,100,3,7.390161e+08
12,100,1,2.229133e+10
12,100,2,4.460299e+09
12,100,3,1.084983e+09
12,100,1,2.063005e+10
12,100,2,4.284494e+09
12,100,3,6.131200e+08
12,100,1,2.885170e+10
12,100,2,6.368074e+09
12,100,3,6.403446e+08
12,100,1,1.916067e+10
12,100,2,3.382062e+09
12,100,3,6.112988e+08
