funcid,dim,milestone,error
11,100,1,3.783764e+05
11,100,2,2.813742e+05
11,100,3,2.134176e+05
11,100,1,3.478580e+05
11,100,2,2.628743e+05
11,100,3,2.009490e+05
11,100,1,2.030262e+05
11,100,2,1.547296e+05
11,100,3,1.140855e+05
11,100,1,7.041396e+05
11,100,2,4.804522e+05
11,100,3,3.331567e+05
11,100,1,4.455075e+05
11,100,2,2.988641e+05
11,100,3,2.173624e+05
11,100,1,5.461352e+05
11,100,2,4.192481e+05
11,100,3,3.234199e+05
11,100,1,4.017977e+05
11,100,2,3.053923e+05
11,100,3,2.315323e+05
11,100,1,4.068875e+05
11,100,2,2.822946e+05
11,100,3,1.971887e+05
11,100,1,5.584538e+05
11,100,2,4.360576e+05
11,100,3,3.430362e+05
11,100,1,4.338445e+05
11,100,2,3.130081e+05
11,100,3,2.317645e+05
11,100,1,4.289600e+05
11,100,2,3.236027e+05
11,100,3,2.509012e+05
11,100,1,4.879521e+05
11,100,2,3.611846e+05
11,100,3,2.735860e+05
11,100,1,4.308605e+05
11,100,2,2.947692e+05
11,100,3,2.050062e+05
11,100,1,5.194622e+05
11,100,2,3.875800e+05
11,100,3,2.963608e+05
11,100,1,2.992027e+05
11,100,2,2.218703e+05
11,100,3,1.715428e+05
11,100,1,2.947413e+05
11,100,2,2.137634e+05
11,100,3,1.603642e+05
11,100,1,3.352000e+05
11,100,2,2.442404e+05
11,100,3,1.815740e+05
11,100,1,4.986499e+05
11,100,2,3.555306e+05
11,100,3,2.599232e+05
11,100,1,3.672457e+05
11,100,2,2.637806e+05
11,100,3,1.951303e+05
11,100,1,2.488406e+05
11,100,2,1.803497e+05
11,100,3,1.312502e+05
11,100,1,6.381033e+05
11,100,2,4.774932e+05
11,100,3,3.612321e+05
11,100,1,2.440390e+05
11,100,2,1.689545e+05
11,100,3,1.190327e+05
11,100,1,2.949224e+05
11,100,2,2.168498e+05
11,100,3,1.635198e+05
11,100,1,6.273288e+05
11,100,2,4.367179e+05
11,100,3,3.023446e+05
11,100,1,3.033347e+05
11,100,2,2.221025e+05
11,100,3,1.622699e+05
