funcid,dim,milestone,error
1,10,1,1.821662e+09
1,10,2,1.284240e+09
1,10,3,8.881350e+08
1,10,5,2.723835e+08
1,10,10,1.555044e+02
1,10,20,1.149178e+02
1,10,30,1.148252e+02
1,10,1,8.131769e+08
1,10,2,4.119438e+08
1,10,3,1.919153e+08
1,10,5,7.217567e+06
1,10,10,2.070088e+02
1,10,20,1.178271e+02
1,10,30,1.177707e+02
1,10,1,5.982275e+08
1,10,2,2.640332e+08
1,10,3,1.092491e+08
1,10,5,4.235105e+05
1,10,10,6.399530e+02
1,10,20,4.195032e+02
1,10,30,3.850653e+02
1,10,1,2.643960e+08
1,10,2,1.118704e+08
1,10,3,2.369678e+07
1,10,5,1.206184e+04
1,10,10,4.916934e+03
1,10,20,4.892558e+03
1,10,30,4.869545e+03
1,10,1,5.232021e+08
1,10,2,2.788831e+08
1,10,3,1.193138e+08
1,10,5,4.340809e+06
1,10,10,1.270773e+04
1,10,20,1.264646e+04
1,10,30,1.264518e+04
1,10,1,1.485709e+09
1,10,2,9.979496e+08
1,10,3,5.452260e+08
1,10,5,1.518396e+08
1,10,10,1.240927e+04
1,10,20,1.197260e+04
1,10,30,1.196722e+04
1,10,1,4.168891e+08
1,10,2,1.419956e+08
1,10,3,3.517088e+07
1,10,5,5.575533e+04
1,10,10,7.687760e+01
1,10,20,2.221103e+01
1,10,30,8.668245e+00
1,10,1,1.006971e+08
1,10,2,1.560463e+07
1,10,3,9.062579e+04
1,10,5,5.125210e+02
1,10,10,2.345911e+02
1,10,20,1.969514e+02
1,10,30,1.943313e+02
1,10,1,2.599431e+09
1,10,2,2.010629e+09
1,10,3,1.525422e+09
1,10,5,6.833426e+08
1,10,10,1.597165e+04
1,10,20,5.895968e+03
1,10,30,5.857143e+03
1,10,1,3.073003e+09
1,10,2,2.091464e+09
1,10,3,1.463887e+09
1,10,5,6.031294e+08
1,10,10,1.042534e+05
1,10,20,3.585932e+03
1,10,30,3.560552e+03
1,10,1,6.101497e+07
1,10,2,8.191197e+05
1,10,3,1.070612e+04
1,10,5,1.687469e+03
1,10,10,7.714916e+02
1,10,20,7.452373e+02
1,10,30,7.434948e+02
1,10,1,5.776921e+07
1,10,2,1.127458e+07
1,10,3,3.132115e+05
1,10,5,3.507390e+03
1,10,10,8.915625e+02
1,10,20,7.602725e+02
1,10,30,7.581757e+02
1,10,1,1.861834e+09
1,10,2,1.458941e+09
1,10,3,1.068359e+09
1,10,5,4.131670e+08
1,10,10,2.428013e+03
1,10,20,6.863528e+02
1,10,30,6.784831e+02
1,10,1,9.635339e+07
1,10,2,3.118136e+06
1,10,3,6.575133e+04
1,10,5,3.015751e+03
1,10,10,2.853239e+03
1,10,20,2.844910e+03
