funcid,dim,milestone,error
28,100,1,1.486457e+04
28,100,2,1.099831e+04
28,100,3,8.086665e+03
28,100,1,2.461455e+04
28,100,2,1.992620e+04
28,100,3,1.616379e+04
28,100,1,2.298976e+04
28,100,2,1.660683e+04
28,100,3,1.212219e+04
28,100,1,1.092279e+04
28,100,2,7.726772e+03
28,100,3,5.514292e+03
28,100,1,1.373683e+04
28,100,2,1.026164e+04
28,100,3,7.607099e+03
28,100,1,1.317437e+04
28,100,2,8.894623e+03
28,100,3,6.179344e+03
28,100,1,1.765774e+04
28,100,2,1.225597e+04
28,100,3,8.793988e+03
28,100,1,1.849942e+04
28,100,2,1.273016e+04
28,100,3,8.927104e+03
28,100,1,1.574195e+04
28,100,2,1.057745e+04
28,100,3,7.246576e+03
28,100,1,1.511642e+04
28,100,2,1.126765e+04
28,100,3,8.166442e+03
28,100,1,1.717786e+04
28,100,2,1.250968e+04
28,100,3,9.103419e+03
28,100,1,1.255580e+04
28,100,2,8.837585e+03
28,100,3,6.003512e+03
28,100,1,9.832106e+03
28,100,2,6.266029e+03
28,100,3,3.864942e+03
28,100,1,1.474795e+04
28,100,2,1.065322e+04
28,100,3,7.820951e+03
28,100,1,1.387623e+04
28,100,2,9.838755e+03
28,100,3,7.032774e+03
28,100,1,1.362427e+04
28,100,2,1.023116e+04
28,100,3,7.864375e+03
28,100,1,9.838874e+03
28,100,2,6.346598e+03
28,100,3,3.824134e+03
28,100,1,1.122158e+04
28,100,2,7.561646e+03
28,100,3,5.040346e+03
28,100,1,1.249828e+04
28,100,2,7.963461e+03
28,100,3,4.942663e+03
28,100,1,1.613633e+04
28,100,2,1.207585e+04
28,100,3,9.086942e+03
28,100,1,1.884291e+04
28,100,2,1.381219e+04
28,100,3,1.029145e+04
28,100,1,1.476739e+04
28,100,2,1.092225e+04
28,100,3,8.204974e+03
28,100,1,1.087232e+04
28,100,2,7.151606e+03
28,100,3,4.672268e+03
28,100,1,1.239481e+04
28,100,2,8.790360e+03
28,100,3,6.104986e+03
28,100,1,1.061279e+04
28,100,2,6.688482e+03
28,100,3,3.879332e+03
