funcid,dim,milestone,error
23,100,1,1.620530e+03
23,100,2,1.599613e+03
23,100,3,1.599185e+03
23,100,1,1.744018e+03
23,100,2,1.719695e+03
23,100,3,1.718783e+03
23,100,1,1.624916e+03
23,100,2,1.614555e+03
23,100,3,1.614084e+03
23,100,1,1.829835e+03
23,100,2,1.777451e+03
23,100,3,1.775921e+03
23,100,1,1.664727e+03
23,100,2,1.654185e+03
23,100,3,1.653210e+03
23,100,1,1.532315e+03
23,100,2,1.524191e+03
23,100,3,1.523846e+03
23,100,1,1.372802e+03
23,100,2,1.365432e+03
23,100,3,1.365125e+03
23,100,1,1.516002e+03
23,100,2,1.507287e+03
23,100,3,1.506831e+03
23,100,1,1.606494e+03
23,100,2,1.598687e+03
23,100,3,1.598371e+03
23,100,1,1.471409e+03
23,100,2,1.460387e+03
23,100,3,1.460053e+03
23,100,1,1.449242e+03
23,100,2,1.438660e+03
23,100,3,1.438551e+03
23,100,1,1.499439e+03
23,100,2,1.490720e+03
23,100,3,1.490483e+03
23,100,1,1.860212e+03
23,100,2,1.843507e+03
23,100,3,1.842717e+03
23,100,1,1.822502e+03
23,100,2,1.791507e+03
23,100,3,1.790928e+03
23,100,1,1.974756e+03
23,100,2,1.944252e+03
23,100,3,1.943637e+03
23,100,1,1.702631e+03
23,100,2,1.698790e+03
23,100,3,1.698545e+03
23,100,1,1.834309e+03
23,100,2,1.817371e+03
23,100,3,1.816979e+03
23,100,1,1.388643e+03
23,100,2,1.375249e+03
23,100,3,1.374823e+03
23,100,1,1.773431e+03
23,100,2,1.726007e+03
23,100,3,1.720057e+03
23,100,1,1.973203e+03
23,100,2,1.946432e+03
23,100,3,1.945522e+03
23,100,1,1.545883e+03
23,100,2,1.536754e+03
23,100,3,1.536514e+03
23,100,1,1.471573e+03
23,100,2,1.468810e+03
23,100,3,1.468481e+03
23,100,1,1.476413e+03
23,100,2,1.449464e+03
23,100,3,1.448860e+03
23,100,1,1.744821e+03
23,100,2,1.723470e+03
23,100,3,1.722699e+03
23,100,1,1.183240e+03
23,100,2,1.165319e+03
23,100,3,1.164945e+03
