funcid,dim,milestone,error
19,100,1,8.877456e+05
19,100,2,3.570455e+05
19,100,3,1.311969e+05
19,100,1,9.026842e+06
19,100,2,1.611783e+06
19,100,3,5.340136e+05
19,100,1,6.295865e+07
19,100,2,4.655776e+06
19,100,3,1.676551e+06
19,100,1,8.132889e+07
19,100,2,1.099061e+07
19,100,3,3.187864e+06
19,100,1,7.996267e+07
19,100,2,1.584602e+07
19,100,3,6.347944e+06
19,100,1,2.400503e+07
19,100,2,4.203498e+06
19,100,3,1.684809e+06
19,100,1,2.261292e+07
19,100,2,5.817938e+06
19,100,3,2.240397e+06
19,100,1,5.874431e+06
19,100,2,1.578240e+06
19,100,3,8.013532e+05
19,100,1,6.573876e+06
19,100,2,1.650994e+06
19,100,3,8.267059e+05
19,100,1,2.723161e+07
19,100,2,4.672163e+06
19,100,3,1.670689e+06
19,100,1,3.957229e+06
19,100,2,1.420241e+06
19,100,3,6.395519e+05
19,100,1,2.357896e+07
19,100,2,4.030933e+06
19,100,3,1.707807e+06
19,100,1,1.284235e+06
19,100,2,5.476522e+05
19,100,3,3.162601e+05
19,100,1,5.121153e+07
19,100,2,2.504359e+06
19,100,3,6.559156e+05
19,100,1,1.851050e+07
19,100,2,2.462454e+06
19,100,3,8.362959e+05
19,100,1,1.202770e+08
19,100,2,5.665155e+06
19,100,3,1.827308e+06
19,100,1,1.026876e+06
19,100,2,4.217457e+05
19,100,3,2.111251e+05
19,100,1,3.485670e+07
19,100,2,4.954596e+06
19,100,3,1.791429e+06
19,100,1,1.041530e+07
19,100,2,2.962305e+06
19,100,3,1.254166e+06
19,100,1,7.594657e+07
19,100,2,3.027912e+06
19,100,3,1.143929e+06
19,100,1,5.353033e+06
19,100,2,1.590574e+06
19,100,3,5.066000e+05
19,100,1,2.856777e+07
19,100,2,5.473365e+06
19,100,3,1.950091e+06
19,100,1,4.265192e+06
19,100,2,7.585841e+05
19,100,3,2.749089e+05
19,100,1,3.741274e+07
19,100,2,7.487544e+06
19,100,3,2.797654e+06
19,100,1,1.542772e+07
19,100,2,2.005931e+06
19,100,3,5.995983e+05
