funcid,dim,milestone,error
6,100,1,6.940667e+01
6,100,2,6.886124e+01
6,100,3,6.859300e+01
6,100,1,6.137303e+01
6,100,2,5.940696e+01
6,100,3,5.879729e+01
6,100,1,4.527384e+01
6,100,2,4.437708e+01
6,100,3,4.395856e+01
6,100,1,6.141972e+01
6,100,2,6.005593e+01
6,100,3,5.933133e+01
6,100,1,6.853622e+01
6,100,2,6.668101e+01
6,100,3,6.627729e+01
6,100,1,5.587389e+01
6,100,2,5.520398e+01
6,100,3,5.494685e+01
6,100,1,6.415310e+01
6,100,2,6.315233e+01
6,100,3,6.279041e+01
6,100,1,7.180790e+01
6,100,2,7.090942e+01
6,100,3,7.042828e+01
6,100,1,6.881811e+01
6,100,2,6.728206e+01
6,100,3,6.642753e+01
6,100,1,5.228231e+01
6,100,2,5.124713e+01
6,100,3,5.089298e+01
6,100,1,5.182428e+01
6,100,2,5.114743e+01
6,100,3,5.064957e+01
6,100,1,5.425985e+01
6,100,2,5.242968e+01
6,100,3,5.186427e+01
6,100,1,5.355659e+01
6,100,2,5.251072e+01
6,100,3,5.233174e+01
6,100,1,4.328591e+01
6,100,2,4.270453e+01
6,100,3,4.256929e+01
6,100,1,6.138040e+01
6,100,2,5.978376e+01
6,100,3,5.938455e+01
6,100,1,5.846782e+01
6,100,2,5.654540e+01
6,100,3,5.580890e+01
6,100,1,5.916526e+01
6,100,2,5.839839e+01
6,100,3,5.824910e+01
6,100,1,7.647591e+01
6,100,2,7.571104e+01
6,100,3,7.546970e+01
6,100,1,5.711233e+01
6,100,2,5.631533e+01
6,100,3,5.611396e+01
6,100,1,5.411011e+01
6,100,2,5.261721e+01
6,100,3,5.223432e+01
6,100,1,5.930880e+01
6,100,2,5.849551e+01
6,100,3,5.809797e+01
6,100,1,6.269361e+01
6,100,2,6.196725e+01
6,100,3,6.165681e+01
6,100,1,6.260615e+01
6,100,2,6.070038e+01
6,100,3,6.004698e+01
6,100,1,5.467939e+01
6,100,2,5.330488e+01
6,100,3,5.251099e+01
6,100,1,5.156689e+01
6,100,2,5.080593e+01
6,100,3,5.043185e+01
