funcid,dim,milestone,error
13,100,1,2.174363e+09
13,100,2,1.937572e+05
13,100,3,5.588539e+04
13,100,1,3.635385e+08
13,100,2,7.441225e+04
13,100,3,4.901962e+04
13,100,1,2.204542e+09
13,100,2,2.699437e+05
13,100,3,1.366157e+05
13,100,1,3.571492e+08
13,100,2,8.931723e+04
13,100,3,6.747992e+04
13,100,1,1.843843e+09
13,100,2,1.684158e+05
13,100,3,7.992902e+04
13,100,1,1.128230e+09
13,100,2,6.689183e+04
13,100,3,2.783860e+04
13,100,1,4.165713e+09
13,100,2,2.181865e+07
13,100,3,1.020267e+05
13,100,1,3.821605e+09
13,100,2,6.426146e+05
13,100,3,5.364647e+04
13,100,1,1.057560e+09
13,100,2,1.196751e+05
13,100,3,7.214909e+04
13,100,1,2.262667e+09
13,100,2,2.530121e+05
13,100,3,6.716102e+04
13,100,1,4.054594e+08
13,100,2,8.914623e+04
13,100,3,7.081706e+04
13,100,1,3.067218e+08
13,100,2,1.167857e+05
13,100,3,9.500863e+04
13,100,1,1.481742e+09
13,100,2,1.099893e+05
13,100,3,4.065970e+04
13,100,1,2.605281e+08
13,100,2,6.733840e+04
13,100,3,5.426917e+04
13,100,1,6.973334e+09
13,100,2,2.235268e+08
13,100,3,7.552265e+04
13,100,1,2.121545e+07
13,100,2,8.332760e+04
13,100,3,7.477496e+04
13,100,1,1.654351e+08
13,100,2,1.234732e+05
13,100,3,1.119247e+05
13,100,1,2.006547e+09
13,100,2,1.811697e+05
13,100,3,9.492910e+04
13,100,1,1.896047e+09
13,100,2,1.173236e+05
13,100,3,5.493207e+04
13,100,1,1.449354e+06
13,100,2,6.103773e+04
13,100,3,5.550016e+04
13,100,1,2.986678e+08
13,100,2,9.192374e+04
13,100,3,7.977648e+04
13,100,1,6.975837e+08
13,100,2,1.161128e+05
13,100,3,8.965501e+04
13,100,1,5.896843e+07
13,100,2,6.378731e+04
13,100,3,5.853947e+04
13,100,1,1.662679e+09
13,100,2,2.234756e+05
13,100,3,1.662066e+05
13,100,1,4.504594e+08
13,100,2,8.700629e+04
13,100,3,7.188626e+04
