funcid,dim,milestone,error
22,100,1,1.956959e+04
22,100,2,1.783624e+04
22,100,3,1.759634e+04
22,100,1,1.712161e+04
22,100,2,1.675299e+04
22,100,3,1.669885e+04
22,100,1,2.038078e+04
22,100,2,1.948158e+04
22,100,3,1.941711e+04
22,100,1,1.911610e+04
22,100,2,1.836985e+04
22,100,3,1.832283e+04
22,100,1,1.963693e+04
22,100,2,1.921203e+04
22,100,3,1.917746e+04
22,100,1,1.812380e+04
22,100,2,1.686854e+04
22,100,3,1.676035e+04
22,100,1,2.015806e+04
22,100,2,1.951220e+04
22,100,3,1.948790e+04
22,100,1,1.867301e+04
22,100,2,1.821214e+04
22,100,3,1.818235e+04
22,100,1,1.914318e+04
22,100,2,1.796109e+04
22,100,3,1.717818e+04
22,100,1,1.790110e+04
22,100,2,1.692804e+04
22,100,3,1.680430e+04
22,100,1,1.746766e+04
22,100,2,1.644522e+04
22,100,3,1.640446e+04
22,100,1,1.965500e+04
22,100,2,1.868058e+04
22,100,3,1.862277e+04
22,100,1,1.910130e+04
22,100,2,1.827991e+04
22,100,3,1.812705e+04
22,100,1,1.838618e+04
22,100,2,1.770348e+04
22,100,3,1.767907e+04
22,100,1,2.152782e+04
22,100,2,2.035125e+04
22,100,3,2.021998e+04
22,100,1,1.977555e+04
22,100,2,1.926433e+04
22,100,3,1.897058e+04
22,100,1,1.855731e+04
22,100,2,1.831633e+04
22,100,3,1.828440e+04
22,100,1,2.029008e+04
22,100,2,1.990696e+04
22,100,3,1.940828e+04
22,100,1,2.002744e+04
22,100,2,1.972914e+04
22,100,3,1.970685e+04
22,100,1,1.923235e+04
22,100,2,1.857676e+04
22,100,3,1.854355e+04
22,100,1,1.764292e+04
22,100,2,1.709394e+04
22,100,3,1.704428e+04
22,100,1,1.979374e+04
22,100,2,1.889382e+04
22,100,3,1.866761e+04
22,100,1,1.517538e+04
22,100,2,1.469812e+04
22,100,3,1.466950e+04
22,100,1,1.891892e+04
22,100,2,1.832918e+04
22,100,3,1.829413e+04
22,100,1,1.717460e+04
22,100,2,1.688581e+04
22,100,3,1.683792e+04
