dim,population,funcid,final_error
50,100,1,9386.762175449992
50,100,2,41.0
50,100,3,26182.53001675803
50,100,4,28.519280093879388
50,100,5,197.00189474807235
50,100,6,9.900823334519941
50,100,7,486.2128583398289
50,100,8,191.70664832390003
50,100,9,8562.010746752305
50,100,10,6595.617580429031
50,100,11,505.7329283795939
50,100,12,1004058.2717880344
50,100,13,6966.70846693866
50,100,14,70010.69969517703
50,100,15,436.6306350316229
50,100,16,2063.483672183334
50,100,17,1913.2946261870243
50,100,18,212403.61589331678
50,100,19,13845.281417532431
50,100,20,1040.095891485506
50,100,21,381.03160939513873
50,100,22,8266.743124789393
50,100,23,813.5572857946331
50,100,24,720.2595759192409
50,100,25,480.35690015139016
50,100,26,3800.589615904115
50,100,27,1069.9899890808665
50,100,28,458.86859834992174
50,100,29,1356.8586661852696
50,100,30,1552185.523459062
