dim,population,mean_error,median_error,min_error,max_error
10,20,51688.173091577766,363.4579,0.000638633,1484705.0
10,50,33056.06639111379,283.53745000000004,0.0004601138,970199.1
10,100,2233.873688296459,310.9459,0.0,28436.65
