dim,population,funcid,final_error
50,50,1,1240.850271842069
50,50,2,112.0
50,50,3,5144.259178983488
50,50,4,217.10106521672026
50,50,5,296.20809140763936
50,50,6,30.45399962489978
50,50,7,922.7282936741617
50,50,8,264.08240691765013
50,50,9,13965.628735568118
50,50,10,8160.884700889879
50,50,11,309.65228125039084
50,50,12,231971.00001634998
50,50,13,7292.6372638498215
50,50,14,95038.52776128886
50,50,15,18726.983793942814
50,50,16,1962.9035665286683
50,50,17,2095.471599040971
50,50,18,180488.80483659593
50,50,19,29620.617524309386
50,50,20,1060.0074949010168
50,50,21,462.1275822691523
50,50,22,8856.755258725263
50,50,23,1013.7208494473034
50,50,24,762.3528725250053
50,50,25,562.828631336015
50,50,26,5642.186784558831
50,50,27,1992.1088689345997
50,50,28,507.7523727822004
50,50,29,2890.3315134675186
50,50,30,939185.0471588774
