dim,population,funcid,final_error
30,50,1,2258.7386707643777
30,50,2,31.0
30,50,3,0.19274424245986665
30,50,4,86.85552815121002
30,50,5,86.56127208743271
30,50,6,25.487989942857894
30,50,7,356.4251116566047
30,50,8,149.2431851122875
30,50,9,2533.562384488285
30,50,10,3476.3284270877357
30,50,11,215.81947729110243
30,50,12,54845.095012716905
30,50,13,65363.36005511724
30,50,14,41290.58042576985
30,50,15,756.7626740777232
30,50,16,1825.7351064660043
30,50,17,714.184944356236
30,50,18,180111.26611212178
30,50,19,4151.898595220006
30,50,20,613.0089042862819
30,50,21,330.876345632224
30,50,22,5443.379572906058
30,50,23,547.6159994763611
30,50,24,560.6493213800154
30,50,25,383.67902971804824
30,50,26,3779.211344907775
30,50,27,823.0897090289477
30,50,28,406.37284800949556
30,50,29,1199.0000306950515
30,50,30,6819.005488385234
