dim,population,funcid,final_error
100,20,1,171983.68688682912
100,20,2,2682144.0
100,20,3,4878.084452937509
100,20,4,297.94524041664056
100,20,5,1408.6834813706353
100,20,6,73.5830773461131
100,20,7,5797.98198916262
100,20,8,1192.358503516273
100,20,9,31764.99321998618
100,20,10,18151.661953188446
100,20,11,1462.0029830578878
100,20,12,2793587.917700512
100,20,13,10084.328966909217
100,20,14,216457.10032810774
100,20,15,4589.649737745412
100,20,16,3728.243708373595
100,20,17,4571.74353097317
100,20,18,231567.42273401155
100,20,19,9547.937103964457
100,20,20,4063.472325293652
100,20,21,1412.011127033104
100,20,22,17636.892339380905
100,20,23,2224.7998763214464
100,20,24,4663.192751212007
100,20,25,861.6287014216969
100,20,26,29268.835802831298
100,20,27,1810.4796101383008
100,20,28,527.7996449545271
100,20,29,5154.693130638616
100,20,30,14518.801638626348
