dim,population,funcid,final_error
30,100,1,1.1266924633812039
30,100,2,66.0
30,100,3,14813.197215227758
30,100,4,75.36017222347255
30,100,5,97.50571503308038
30,100,6,3.989832698777036
30,100,7,204.01250694789132
30,100,8,52.73274751869042
30,100,9,539.1907864488801
30,100,10,4236.314352499789
30,100,11,180.01640307036814
30,100,12,225235.5219773845
30,100,13,4096.468054919688
30,100,14,13172.82259903775
30,100,15,22550.631205959333
30,100,16,985.4893795333396
30,100,17,268.66356138788797
30,100,18,714048.4510732142
30,100,19,22812.756398683232
30,100,20,673.4452742327035
30,100,21,311.7267412127303
30,100,22,100.00385532720202
30,100,23,474.4908963778935
30,100,24,499.2304901366324
30,100,25,383.6170842994625
30,100,26,1845.0338999384594
30,100,27,560.7297082279765
30,100,28,300.00204649495754
30,100,29,969.6556135643195
30,100,30,3448.9492612071226
