dim,population,mean_error,median_error,min_error,max_error,num_funcs
30,20,1143230357.345533,1075.218105898468,0.10536453925698197,34296458181.0,30
30,50,12639.499543703187,756.7626740777232,0.19274424245986665,180111.26611212178,30
30,100,34433.57118484238,539.1907864488801,1.1266924633812039,714048.4510732142,30
50,20,69537.42692988687,2384.1232748623324,0.3690460844408108,997519.2979234767,30
50,50,52026.53382583686,1992.1088689345997,30.45399962489978,939185.0471588774,30
50,100,97815.29519543759,1356.8586661852696,9.900823334519941,1552185.523459062,30
100,20,209181.0644182087,4878.084452937509,73.5830773461131,2793587.917700512,30
100,50,184865.13693968387,3964.148474840229,37.29242982025835,4343209.051241101,30
100,100,168713.51892874978,3598.492419805473,34.743101267078714,3505795.584371967,30
