dim,population,funcid,final_error
100,100,1,232368.56833608332
100,100,2,145.0
100,100,3,197597.31514707152
100,100,4,240.52457485478965
100,100,5,330.43440847516354
100,100,6,34.743101267078714
100,100,7,1217.7686476426918
100,100,8,657.7620723087421
100,100,9,25012.174337131964
100,100,10,17316.2838370878
100,100,11,1343.125657823733
100,100,12,3505795.584371967
100,100,13,10582.11506396598
100,100,14,429715.411667168
100,100,15,731.3852335671827
100,100,16,4593.128633420638
100,100,17,3598.492419805473
100,100,18,576242.2960084071
100,100,19,482.8627187532761
100,100,20,3832.2316040397855
100,100,21,746.6114738208107
100,100,22,17768.06766204744
100,100,23,1361.8814100664758
100,100,24,1572.879504716122
100,100,25,897.8713843070364
100,100,26,11917.618008140504
100,100,27,1156.7525853627903
100,100,28,622.8867142693543
100,100,29,4278.716736363149
100,100,30,9245.074542557884
