dim,population,funcid,final_error
30,20,1,1312.5906728591588
30,20,2,34296458181.0
30,20,3,0.10536453925698197
30,20,4,58.712647759737195
30,20,5,243.24338773147065
30,20,6,50.14636516522626
30,20,7,860.0555389593103
30,20,8,171.1320162852951
30,20,9,8958.659947558295
30,20,10,3480.5346555058386
30,20,11,101.76753482089521
30,20,12,62321.9589205415
30,20,13,3864.512363521899
30,20,14,8881.386256773321
30,20,15,8611.099024188266
30,20,16,1075.218105898468
30,20,17,420.29818916332897
30,20,18,289199.21013227565
30,20,19,39984.095513335524
30,20,20,1003.0785365256506
30,20,21,531.9565249669704
30,20,22,2475.331729782728
30,20,23,858.0826086430961
30,20,24,822.4629204082253
30,20,25,388.58127254431884
30,20,26,4737.363773431993
30,20,27,868.5415180544715
30,20,28,413.98598884723697
30,20,29,1494.6004773761688
30,20,30,9350.654001348488
