estrategia,bloque,spearman,spearman_std,n,nmae,nrmse,train_time_s,hito
acumulativo,1-20,0.06461780208568367,0.49385025566378293,147,830.587716508189,876.5256678874155,0.659279417974172,20
acumulativo,1-40,0.1867088050050949,0.44684622523115075,147,466.3673714824514,512.7262861790628,1.1730804979736333,40
acumulativo,1-60,0.25007735293693967,0.43280103017633215,147,294.8484501649543,327.9616208076326,1.6977097013327285,60
acumulativo,1-80,0.2628963487354682,0.4219420834367672,147,435.381714971027,467.3960029957094,2.2465689980772274,80
no_acumulativo,1-20,0.06461780208568367,0.49385025566378293,147,830.587716508189,876.5256678874155,0.7848949036334861,20
no_acumulativo,21-40,0.2865447118425872,0.41670759290646414,147,10.92005779803992,17.80077031440115,0.6431054205338228,40
no_acumulativo,41-60,0.32594511471638965,0.41116464941047226,147,55.03660339459414,89.12702740026783,0.6654410911723971,60
no_acumulativo,61-80,0.329742617051896,0.40720306317902805,147,198.72580147588516,254.01935443974457,0.6541046462577617,80
