funcid,dim,milestone,error
19,100,1,2.042094e+06
19,100,2,6.830964e+05
19,100,3,3.298562e+05
19,100,5,1.738596e+05
19,100,10,2.595337e+04
19,100,20,1.229530e+03
19,100,30,5.198002e+02
19,100,40,4.890586e+02
19,100,50,4.853988e+02
19,100,60,4.846997e+02
19,100,70,4.836526e+02
19,100,80,4.832593e+02
19,100,90,4.830144e+02
19,100,100,4.828627e+02
