funcid,dim,milestone,error
30,100,1,3.488424e+07
30,100,2,1.280647e+06
30,100,3,1.548871e+05
30,100,1,2.975757e+07
30,100,2,8.020070e+05
30,100,3,1.074029e+05
30,100,1,2.535229e+07
30,100,2,1.619704e+06
30,100,3,3.424275e+05
30,100,1,2.174188e+07
30,100,2,6.453259e+05
30,100,3,6.854849e+04
30,100,1,1.697815e+07
30,100,2,5.530794e+05
30,100,3,8.007908e+04
30,100,1,4.676467e+07
30,100,2,1.285924e+06
30,100,3,1.403903e+05
30,100,1,5.044012e+07
30,100,2,1.092295e+06
30,100,3,8.619369e+04
30,100,1,3.980159e+07
30,100,2,1.790017e+06
30,100,3,4.660015e+05
30,100,1,4.076617e+07
30,100,2,2.226119e+06
30,100,3,3.751701e+05
30,100,1,3.704543e+07
30,100,2,1.235582e+06
30,100,3,1.646786e+05
30,100,1,1.759940e+07
30,100,2,1.038899e+06
30,100,3,2.164079e+05
30,100,1,1.866723e+07
30,100,2,6.620188e+05
30,100,3,1.206097e+05
30,100,1,4.272365e+07
30,100,2,1.420568e+06
30,100,3,2.146800e+05
30,100,1,3.684798e+07
30,100,2,1.424454e+06
30,100,3,1.335123e+05
30,100,1,4.886914e+07
30,100,2,1.000961e+06
30,100,3,1.502734e+05
30,100,1,4.314184e+07
30,100,2,8.182223e+05
30,100,3,9.570993e+04
30,100,1,6.441368e+07
30,100,2,1.776907e+06
30,100,3,3.566974e+05
30,100,1,3.589169e+07
30,100,2,1.986414e+06
30,100,3,2.415175e+05
30,100,1,2.833131e+07
30,100,2,6.588954e+05
30,100,3,6.851738e+04
30,100,1,1.587486e+07
30,100,2,7.679521e+05
30,100,3,1.304794e+05
30,100,1,5.572788e+07
30,100,2,1.645789e+06
30,100,3,2.519545e+05
30,100,1,6.872232e+07
30,100,2,1.542041e+06
30,100,3,2.052232e+05
30,100,1,2.713960e+07
30,100,2,2.215011e+06
30,100,3,4.381236e+05
30,100,1,6.132271e+07
30,100,2,1.070658e+06
30,100,3,1.516770e+05
30,100,1,3.852119e+07
30,100,2,1.015478e+06
30,100,3,1.773580e+05
