funcid,dim,milestone,error
25,100,1,3.429273e+03
25,100,2,1.411945e+03
25,100,3,1.085571e+03
25,100,1,3.912719e+03
25,100,2,1.595765e+03
25,100,3,1.235242e+03
25,100,1,4.908953e+03
25,100,2,1.733259e+03
25,100,3,1.201730e+03
25,100,1,4.944146e+03
25,100,2,1.753290e+03
25,100,3,1.371367e+03
25,100,1,4.056757e+03
25,100,2,1.836189e+03
25,100,3,1.307938e+03
25,100,1,4.968288e+03
25,100,2,2.086264e+03
25,100,3,1.457454e+03
25,100,1,5.062859e+03
25,100,2,1.998667e+03
25,100,3,1.321117e+03
25,100,1,4.308486e+03
25,100,2,1.844560e+03
25,100,3,1.261463e+03
25,100,1,3.685611e+03
25,100,2,1.661456e+03
25,100,3,1.210892e+03
25,100,1,4.230156e+03
25,100,2,2.005415e+03
25,100,3,1.494188e+03
25,100,1,3.421389e+03
25,100,2,1.447340e+03
25,100,3,1.141000e+03
25,100,1,4.646358e+03
25,100,2,2.007854e+03
25,100,3,1.445890e+03
25,100,1,4.097557e+03
25,100,2,1.491565e+03
25,100,3,1.119084e+03
25,100,1,6.459131e+03
25,100,2,2.735860e+03
25,100,3,1.815906e+03
25,100,1,4.549384e+03
25,100,2,1.647124e+03
25,100,3,1.214988e+03
25,100,1,4.616795e+03
25,100,2,1.741898e+03
25,100,3,1.344722e+03
25,100,1,3.872298e+03
25,100,2,1.494125e+03
25,100,3,1.223113e+03
25,100,1,4.361778e+03
25,100,2,1.568092e+03
25,100,3,1.256672e+03
25,100,1,3.457629e+03
25,100,2,1.759536e+03
25,100,3,1.386562e+03
25,100,1,4.716128e+03
25,100,2,1.810570e+03
25,100,3,1.286347e+03
25,100,1,4.373664e+03
25,100,2,1.634770e+03
25,100,3,1.208345e+03
25,100,1,3.426304e+03
25,100,2,1.608944e+03
25,100,3,1.238968e+03
25,100,1,4.603457e+03
25,100,2,1.860877e+03
25,100,3,1.305715e+03
25,100,1,3.648802e+03
25,100,2,1.614521e+03
25,100,3,1.255407e+03
25,100,1,3.360016e+03
25,100,2,1.509679e+03
25,100,3,1.214551e+03
