funcid,dim,milestone,error
11,100,1,1.444828e+05
11,100,2,5.977017e+04
11,100,3,3.647183e+04
11,100,1,1.387622e+05
11,100,2,4.804158e+04
11,100,3,2.120034e+04
11,100,1,1.722935e+05
11,100,2,8.933249e+04
11,100,3,5.061287e+04
11,100,1,2.191354e+05
11,100,2,8.919602e+04
11,100,3,5.778095e+04
11,100,1,1.393849e+05
11,100,2,6.518602e+04
11,100,3,3.232434e+04
11,100,1,1.576081e+05
11,100,2,7.845625e+04
11,100,3,4.731142e+04
11,100,1,9.909946e+04
11,100,2,5.812427e+04
11,100,3,3.937106e+04
11,100,1,1.469421e+05
11,100,2,5.819827e+04
11,100,3,2.949074e+04
11,100,1,1.225170e+05
11,100,2,6.415276e+04
11,100,3,3.640047e+04
11,100,1,1.584702e+05
11,100,2,5.291038e+04
11,100,3,2.216073e+04
11,100,1,1.836008e+05
11,100,2,6.278554e+04
11,100,3,3.381381e+04
11,100,1,1.293507e+05
11,100,2,6.864872e+04
11,100,3,2.823433e+04
11,100,1,1.422979e+05
11,100,2,5.438929e+04
11,100,3,2.855291e+04
11,100,1,1.210626e+05
11,100,2,5.425114e+04
11,100,3,3.196492e+04
11,100,1,2.294788e+05
11,100,2,6.208493e+04
11,100,3,3.771343e+04
11,100,1,1.216226e+05
11,100,2,5.861178e+04
11,100,3,2.928492e+04
11,100,1,1.737783e+05
11,100,2,5.271944e+04
11,100,3,3.126943e+04
11,100,1,1.596827e+05
11,100,2,7.074782e+04
11,100,3,3.220104e+04
11,100,1,1.604414e+05
11,100,2,5.902540e+04
11,100,3,3.048126e+04
11,100,1,1.630500e+05
11,100,2,6.763587e+04
11,100,3,3.722078e+04
11,100,1,8.539717e+04
11,100,2,3.282515e+04
11,100,3,1.465804e+04
11,100,1,2.446465e+05
11,100,2,6.775748e+04
11,100,3,3.485488e+04
11,100,1,1.360316e+05
11,100,2,6.420295e+04
11,100,3,3.719087e+04
11,100,1,1.298218e+05
11,100,2,5.381311e+04
11,100,3,2.726744e+04
11,100,1,1.639918e+05
11,100,2,5.042026e+04
11,100,3,2.553428e+04
