funcid,dim,milestone,error
2,100,1,4.435953e+136
2,100,2,1.093809e+127
2,100,3,2.117510e+117
2,100,1,8.913344e+146
2,100,2,7.232097e+134
2,100,3,3.343718e+122
2,100,1,3.625291e+134
2,100,2,2.785284e+114
2,100,3,1.708365e+105
2,100,1,3.319581e+145
2,100,2,5.093208e+132
2,100,3,2.418499e+119
2,100,1,5.696779e+140
2,100,2,3.712025e+125
2,100,3,1.335341e+113
2,100,1,8.726285e+141
2,100,2,2.457635e+128
2,100,3,7.955298e+116
2,100,1,2.268175e+143
2,100,2,4.915023e+127
2,100,3,1.798395e+119
2,100,1,3.868515e+147
2,100,2,1.281294e+125
2,100,3,1.063428e+115
2,100,1,1.219354e+140
2,100,2,9.423993e+128
2,100,3,1.951913e+111
2,100,1,2.798720e+138
2,100,2,8.667360e+127
2,100,3,5.185445e+122
2,100,1,7.063164e+142
2,100,2,1.290836e+128
2,100,3,2.150696e+114
2,100,1,9.517593e+143
2,100,2,4.158002e+127
2,100,3,2.158681e+117
2,100,1,1.025869e+141
2,100,2,1.883066e+125
2,100,3,1.041497e+118
2,100,1,2.456189e+139
2,100,2,4.220096e+125
2,100,3,1.219237e+116
2,100,1,1.764533e+138
2,100,2,3.117728e+122
2,100,3,2.337876e+112
2,100,1,7.745306e+138
2,100,2,7.271438e+124
2,100,3,2.810939e+116
2,100,1,6.288881e+142
2,100,2,1.280768e+125
2,100,3,2.120937e+118
2,100,1,1.602583e+138
2,100,2,3.618366e+115
2,100,3,6.504603e+103
2,100,1,2.696985e+129
2,100,2,3.103776e+113
2,100,3,6.494622e+105
2,100,1,2.013386e+139
2,100,2,3.349651e+124
2,100,3,4.303598e+112
2,100,1,9.187674e+139
2,100,2,5.147952e+128
2,100,3,1.019265e+118
2,100,1,6.278309e+143
2,100,2,1.973065e+129
2,100,3,1.288607e+120
2,100,1,3.516471e+140
2,100,2,1.779931e+132
2,100,3,2.279564e+118
2,100,1,3.159228e+138
2,100,2,1.169780e+130
2,100,3,7.285550e+121
2,100,1,9.799283e+135
2,100,2,1.615287e+121
2,100,3,4.681850e+108
