funcid,dim,milestone,error
12,100,1,3.747225e+09
12,100,2,5.338166e+08
12,100,3,1.321454e+08
12,100,1,4.299303e+09
12,100,2,4.384128e+08
12,100,3,7.078700e+07
12,100,1,3.545770e+09
12,100,2,6.311880e+08
12,100,3,1.890386e+08
12,100,1,4.171614e+09
12,100,2,3.702179e+08
12,100,3,1.034421e+08
12,100,1,2.772096e+09
12,100,2,2.544642e+08
12,100,3,9.274468e+07
12,100,1,2.039632e+09
12,100,2,2.063933e+08
12,100,3,6.632873e+07
12,100,1,2.707645e+09
12,100,2,3.264255e+08
12,100,3,7.488225e+07
12,100,1,2.848776e+09
12,100,2,2.001887e+08
12,100,3,3.559521e+07
12,100,1,2.950999e+09
12,100,2,3.179216e+08
12,100,3,8.831086e+07
12,100,1,3.342109e+09
12,100,2,4.732815e+08
12,100,3,7.406574e+07
12,100,1,2.328021e+09
12,100,2,4.700559e+08
12,100,3,1.487198e+08
12,100,1,4.842116e+09
12,100,2,5.255195e+08
12,100,3,2.278997e+08
12,100,1,5.196548e+09
12,100,2,6.565537e+08
12,100,3,9.726518e+07
12,100,1,2.375204e+09
12,100,2,4.470905e+08
12,100,3,9.299934e+07
12,100,1,2.623491e+09
12,100,2,2.375391e+08
12,100,3,5.816977e+07
12,100,1,4.898192e+09
12,100,2,3.318424e+08
12,100,3,8.404635e+07
12,100,1,2.342684e+09
12,100,2,2.970829e+08
12,100,3,1.244043e+08
12,100,1,2.472827e+09
12,100,2,3.439385e+08
12,100,3,1.210835e+08
12,100,1,2.727696e+09
12,100,2,4.451448e+08
12,100,3,1.253402e+08
12,100,1,2.560534e+09
12,100,2,3.377403e+08
12,100,3,1.536414e+08
12,100,1,2.212371e+09
12,100,2,2.979451e+08
12,100,3,1.178899e+08
12,100,1,3.512829e+09
12,100,2,2.322539e+08
12,100,3,8.094916e+07
12,100,1,2.268356e+09
12,100,2,2.056302e+08
12,100,3,4.712464e+07
12,100,1,2.170853e+09
12,100,2,2.746675e+08
12,100,3,1.128112e+08
12,100,1,3.743384e+09
12,100,2,2.768342e+08
12,100,3,8.716922e+07
