funcid,dim,milestone,error
5,100,1,1.164706e+03
5,100,2,1.058488e+03
5,100,3,9.765785e+02
5,100,1,1.177633e+03
5,100,2,1.064347e+03
5,100,3,1.043413e+03
5,100,1,1.121371e+03
5,100,2,1.064646e+03
5,100,3,9.200372e+02
5,100,1,1.131579e+03
5,100,2,1.056178e+03
5,100,3,9.976779e+02
5,100,1,1.045885e+03
5,100,2,9.988135e+02
5,100,3,9.988135e+02
5,100,1,1.097986e+03
5,100,2,9.945239e+02
5,100,3,9.833272e+02
5,100,1,1.158403e+03
5,100,2,1.014633e+03
5,100,3,9.773302e+02
5,100,1,1.193134e+03
5,100,2,1.051490e+03
5,100,3,1.017689e+03
5,100,1,1.108396e+03
5,100,2,1.010603e+03
5,100,3,9.865592e+02
5,100,1,1.003120e+03
5,100,2,9.719003e+02
5,100,3,9.518466e+02
5,100,1,1.168371e+03
5,100,2,1.052106e+03
5,100,3,9.952669e+02
5,100,1,1.049059e+03
5,100,2,9.644864e+02
5,100,3,9.583405e+02
5,100,1,1.108750e+03
5,100,2,1.042713e+03
5,100,3,9.964048e+02
5,100,1,1.142744e+03
5,100,2,1.083302e+03
5,100,3,1.038541e+03
5,100,1,1.126350e+03
5,100,2,1.014484e+03
5,100,3,9.655965e+02
5,100,1,1.144197e+03
5,100,2,1.051921e+03
5,100,3,9.651029e+02
5,100,1,1.135892e+03
5,100,2,9.852029e+02
5,100,3,9.508906e+02
5,100,1,1.210095e+03
5,100,2,1.130059e+03
5,100,3,1.064723e+03
5,100,1,1.072353e+03
5,100,2,9.136754e+02
5,100,3,9.136754e+02
5,100,1,1.083841e+03
5,100,2,9.854361e+02
5,100,3,9.827014e+02
5,100,1,1.124646e+03
5,100,2,1.016916e+03
5,100,3,9.780109e+02
5,100,1,1.201015e+03
5,100,2,1.064375e+03
5,100,3,1.064161e+03
5,100,1,1.236273e+03
5,100,2,1.163729e+03
5,100,3,1.147639e+03
5,100,1,1.079397e+03
5,100,2,9.790004e+02
5,100,3,9.006784e+02
5,100,1,1.077000e+03
5,100,2,9.815137e+02
5,100,3,9.613004e+02
