funcid,dim,milestone,error
1,100,1,2.979352e+10
1,100,2,5.717014e+09
1,100,3,1.015338e+09
1,100,1,4.153545e+10
1,100,2,6.950627e+09
1,100,3,6.826204e+08
1,100,1,3.936295e+10
1,100,2,1.102379e+10
1,100,3,2.402138e+09
1,100,1,3.583826e+10
1,100,2,7.391902e+09
1,100,3,1.568378e+09
1,100,1,2.923845e+10
1,100,2,7.287387e+09
1,100,3,2.674825e+09
1,100,1,3.285771e+10
1,100,2,4.694132e+09
1,100,3,9.512218e+08
1,100,1,3.461321e+10
1,100,2,3.472643e+09
1,100,3,4.668375e+08
1,100,1,4.859631e+10
1,100,2,9.847738e+09
1,100,3,1.710681e+09
1,100,1,3.727628e+10
1,100,2,5.465606e+09
1,100,3,6.164951e+08
1,100,1,3.017057e+10
1,100,2,4.950299e+09
1,100,3,9.216798e+08
1,100,1,3.117177e+10
1,100,2,4.422587e+09
1,100,3,1.219996e+09
1,100,1,4.449166e+10
1,100,2,5.974933e+09
1,100,3,1.506189e+09
1,100,1,3.988357e+10
1,100,2,7.194535e+09
1,100,3,3.128466e+09
1,100,1,3.656002e+10
1,100,2,5.385478e+09
1,100,3,1.438909e+09
1,100,1,3.346575e+10
1,100,2,3.996559e+09
1,100,3,7.525586e+08
1,100,1,3.219070e+10
1,100,2,4.747247e+09
1,100,3,1.232565e+09
1,100,1,3.726053e+10
1,100,2,7.442788e+09
1,100,3,1.463223e+09
1,100,1,4.195143e+10
1,100,2,8.780042e+09
1,100,3,3.053437e+09
1,100,1,3.192076e+10
1,100,2,8.313000e+09
1,100,3,2.351961e+09
1,100,1,3.050732e+10
1,100,2,5.829166e+09
1,100,3,1.077094e+09
1,100,1,3.207639e+10
1,100,2,6.670360e+09
1,100,3,8.895665e+08
1,100,1,3.876660e+10
1,100,2,7.080093e+09
1,100,3,8.220230e+08
1,100,1,4.195051e+10
1,100,2,1.130357e+10
1,100,3,1.770585e+09
1,100,1,3.321565e+10
1,100,2,3.959155e+09
1,100,3,9.341180e+08
1,100,1,3.790178e+10
1,100,2,5.144603e+09
1,100,3,1.002490e+09
