funcid,dim,milestone,error
13,100,1,1.555321e+07
13,100,2,5.695963e+04
13,100,3,9.607780e+03
13,100,1,5.514411e+07
13,100,2,1.457386e+05
13,100,3,2.742551e+04
13,100,1,3.074961e+07
13,100,2,5.526508e+04
13,100,3,5.495931e+03
13,100,1,2.962114e+07
13,100,2,7.791205e+04
13,100,3,1.936281e+04
13,100,1,3.189582e+07
13,100,2,7.229647e+04
13,100,3,1.129294e+04
13,100,1,2.323314e+07
13,100,2,5.376305e+04
13,100,3,8.679974e+03
13,100,1,7.653733e+07
13,100,2,8.184263e+04
13,100,3,1.529154e+04
13,100,1,1.446587e+07
13,100,2,4.719104e+04
13,100,3,1.562551e+04
13,100,1,5.629233e+07
13,100,2,1.244016e+05
13,100,3,3.717824e+04
13,100,1,3.257926e+07
13,100,2,7.854951e+04
13,100,3,1.299045e+04
13,100,1,2.313240e+07
13,100,2,5.607407e+04
13,100,3,7.457296e+03
13,100,1,1.460264e+07
13,100,2,6.661008e+04
13,100,3,7.867344e+03
13,100,1,1.334330e+08
13,100,2,3.261125e+05
13,100,3,1.854837e+04
13,100,1,4.696976e+07
13,100,2,7.629765e+04
13,100,3,1.064210e+04
13,100,1,5.449148e+07
13,100,2,1.376629e+05
13,100,3,1.280884e+04
13,100,1,2.321909e+07
13,100,2,7.007769e+04
13,100,3,9.756947e+03
13,100,1,5.406485e+07
13,100,2,7.037341e+04
13,100,3,1.181802e+04
13,100,1,5.708528e+07
13,100,2,1.093502e+05
13,100,3,1.595181e+04
13,100,1,8.261406e+07
13,100,2,1.791052e+05
13,100,3,2.514590e+04
13,100,1,2.737904e+07
13,100,2,6.164592e+04
13,100,3,1.059657e+04
13,100,1,5.280852e+07
13,100,2,7.673500e+04
13,100,3,9.615263e+03
13,100,1,3.542326e+07
13,100,2,6.168871e+04
13,100,3,1.899999e+04
13,100,1,6.821616e+07
13,100,2,5.638427e+06
13,100,3,1.735193e+06
13,100,1,5.121994e+07
13,100,2,2.424517e+05
13,100,3,6.665068e+04
13,100,1,4.034716e+07
13,100,2,9.975858e+04
13,100,3,1.367261e+04
