funcid,dim,milestone,error
15,100,1,6.543370e+06
15,100,2,1.044035e+05
15,100,3,9.729076e+03
15,100,1,1.242074e+07
15,100,2,4.744537e+04
15,100,3,1.618172e+03
15,100,1,1.849758e+06
15,100,2,1.074011e+04
15,100,3,6.509206e+03
15,100,1,7.211053e+06
15,100,2,9.409034e+03
15,100,3,1.414627e+03
15,100,1,2.632882e+06
15,100,2,3.574108e+04
15,100,3,2.540128e+04
15,100,1,3.712866e+06
15,100,2,1.658682e+04
15,100,3,3.829177e+03
15,100,1,1.837550e+06
15,100,2,1.398309e+04
15,100,3,3.568168e+03
15,100,1,3.001753e+06
15,100,2,3.271496e+04
15,100,3,1.170576e+04
15,100,1,2.005565e+06
15,100,2,9.090401e+03
15,100,3,1.102407e+03
15,100,1,1.913017e+07
15,100,2,2.125735e+05
15,100,3,1.323922e+04
15,100,1,2.095960e+06
15,100,2,1.242574e+04
15,100,3,2.868226e+03
15,100,1,1.610413e+06
15,100,2,1.590611e+04
15,100,3,2.242251e+03
15,100,1,2.372576e+06
15,100,2,3.671084e+04
15,100,3,2.194616e+04
15,100,1,1.990244e+06
15,100,2,5.012333e+03
15,100,3,1.235891e+03
15,100,1,1.104372e+06
15,100,2,3.236298e+04
15,100,3,2.525287e+04
15,100,1,3.454203e+06
15,100,2,6.085273e+04
15,100,3,4.267817e+03
15,100,1,2.758429e+06
15,100,2,2.163952e+04
15,100,3,1.180584e+04
15,100,1,2.717794e+06
15,100,2,2.814961e+04
15,100,3,2.155123e+04
15,100,1,4.699604e+05
15,100,2,1.008328e+04
15,100,3,7.437838e+03
15,100,1,9.029421e+06
15,100,2,3.252732e+04
15,100,3,7.682211e+03
15,100,1,1.084689e+06
15,100,2,2.222876e+04
15,100,3,2.955319e+03
15,100,1,2.193583e+06
15,100,2,6.686990e+03
15,100,3,1.884513e+03
15,100,1,2.530763e+06
15,100,2,3.863030e+03
15,100,3,1.260532e+03
15,100,1,7.675676e+06
15,100,2,1.700414e+04
15,100,3,1.524279e+03
15,100,1,5.961245e+06
15,100,2,7.049983e+04
15,100,3,1.828016e+04
