funcid,dim,milestone,error
7,100,1,1.744699e+03
7,100,2,1.358827e+03
7,100,3,1.274097e+03
7,100,1,1.535174e+03
7,100,2,1.293309e+03
7,100,3,1.211842e+03
7,100,1,1.781657e+03
7,100,2,1.408337e+03
7,100,3,1.370379e+03
7,100,1,1.737319e+03
7,100,2,1.377482e+03
7,100,3,1.302280e+03
7,100,1,1.792387e+03
7,100,2,1.441747e+03
7,100,3,1.365921e+03
7,100,1,1.931026e+03
7,100,2,1.307125e+03
7,100,3,1.219321e+03
7,100,1,1.557150e+03
7,100,2,1.287201e+03
7,100,3,1.223911e+03
7,100,1,1.686173e+03
7,100,2,1.328727e+03
7,100,3,1.235382e+03
7,100,1,1.614599e+03
7,100,2,1.369189e+03
7,100,3,1.290665e+03
7,100,1,1.804331e+03
7,100,2,1.350897e+03
7,100,3,1.236483e+03
7,100,1,1.756605e+03
7,100,2,1.266959e+03
7,100,3,1.144447e+03
7,100,1,1.653759e+03
7,100,2,1.393938e+03
7,100,3,1.302119e+03
7,100,1,1.726316e+03
7,100,2,1.271104e+03
7,100,3,1.185046e+03
7,100,1,1.811884e+03
7,100,2,1.309846e+03
7,100,3,1.268752e+03
7,100,1,1.718500e+03
7,100,2,1.403171e+03
7,100,3,1.311469e+03
7,100,1,1.672150e+03
7,100,2,1.427281e+03
7,100,3,1.312572e+03
7,100,1,1.700119e+03
7,100,2,1.273042e+03
7,100,3,1.208155e+03
7,100,1,1.800952e+03
7,100,2,1.223495e+03
7,100,3,1.153379e+03
7,100,1,1.826760e+03
7,100,2,1.319598e+03
7,100,3,1.252459e+03
7,100,1,1.569143e+03
7,100,2,1.256112e+03
7,100,3,1.197632e+03
7,100,1,1.687178e+03
7,100,2,1.270616e+03
7,100,3,1.250335e+03
7,100,1,1.788339e+03
7,100,2,1.433078e+03
7,100,3,1.319479e+03
7,100,1,1.533815e+03
7,100,2,1.291186e+03
7,100,3,1.251968e+03
7,100,1,1.591328e+03
7,100,2,1.256245e+03
7,100,3,1.239659e+03
7,100,1,1.842798e+03
7,100,2,1.327802e+03
7,100,3,1.237092e+03
