funcid,dim,milestone,error
21,100,1,1.360898e+03
21,100,2,1.308891e+03
21,100,3,1.240417e+03
21,100,1,1.384539e+03
21,100,2,1.159984e+03
21,100,3,1.159984e+03
21,100,1,1.320124e+03
21,100,2,1.228880e+03
21,100,3,1.216243e+03
21,100,1,1.318798e+03
21,100,2,1.260367e+03
21,100,3,1.188443e+03
21,100,1,1.394584e+03
21,100,2,1.298018e+03
21,100,3,1.252356e+03
21,100,1,1.363941e+03
21,100,2,1.306122e+03
21,100,3,1.261566e+03
21,100,1,1.313831e+03
21,100,2,1.263089e+03
21,100,3,1.182263e+03
21,100,1,1.393709e+03
21,100,2,1.219609e+03
21,100,3,1.145937e+03
21,100,1,1.327921e+03
21,100,2,1.249607e+03
21,100,3,1.202954e+03
21,100,1,1.316548e+03
21,100,2,1.281792e+03
21,100,3,1.264395e+03
21,100,1,1.378338e+03
21,100,2,1.289482e+03
21,100,3,1.221527e+03
21,100,1,1.283468e+03
21,100,2,1.188729e+03
21,100,3,1.188729e+03
21,100,1,1.340472e+03
21,100,2,1.130009e+03
21,100,3,1.130009e+03
21,100,1,1.266407e+03
21,100,2,1.231298e+03
21,100,3,1.171957e+03
21,100,1,1.278982e+03
21,100,2,1.206822e+03
21,100,3,1.174955e+03
21,100,1,1.317403e+03
21,100,2,1.274327e+03
21,100,3,1.215446e+03
21,100,1,1.360771e+03
21,100,2,1.285719e+03
21,100,3,1.239012e+03
21,100,1,1.389068e+03
21,100,2,1.293090e+03
21,100,3,1.234351e+03
21,100,1,1.384236e+03
21,100,2,1.324130e+03
21,100,3,1.247849e+03
21,100,1,1.414573e+03
21,100,2,1.325835e+03
21,100,3,1.307727e+03
21,100,1,1.323614e+03
21,100,2,1.278541e+03
21,100,3,1.153390e+03
21,100,1,1.311308e+03
21,100,2,1.250730e+03
21,100,3,1.197922e+03
21,100,1,1.390127e+03
21,100,2,1.252891e+03
21,100,3,1.221348e+03
21,100,1,1.334640e+03
21,100,2,1.261817e+03
21,100,3,1.228916e+03
21,100,1,1.393392e+03
21,100,2,1.238587e+03
21,100,3,1.215775e+03
