funcid,dim,milestone,error
11,100,1,4.557150e+05
11,100,2,2.818554e+05
11,100,3,1.843845e+05
11,100,5,7.912279e+04
11,100,10,4.917623e+03
11,100,20,1.511372e+03
11,100,30,1.474277e+03
11,100,40,1.465912e+03
11,100,50,1.464453e+03
11,100,60,1.463233e+03
11,100,70,1.462680e+03
11,100,80,1.462475e+03
11,100,90,1.462215e+03
11,100,100,1.462003e+03
