evaluaciones,generacion,min,promedio,desv_std,mediana,max,mejor_hasta_ahora,tiempo_s
200,1,51404362.0,52898134.98,754669.916087848,52885972.0,54286938.0,51404362.0,0.04243154200958088
300,2,51053242.0,52502923.0,706432.435995432,52489375.0,54250848.0,51053242.0,0.06322412499866914
400,3,50516292.0,52266288.62,681980.6395086414,52253258.0,53945296.0,50516292.0,0.0846388750069309
500,4,50516292.0,52079824.88,630085.5071589138,52036971.0,53842588.0,50516292.0,0.106023083004402
600,5,50079972.0,51913201.88,589354.2132029478,51914574.0,53842588.0,50079972.0,0.12700904200028162
700,6,50079972.0,51752713.26,509345.43141107337,51736992.0,52814182.0,50079972.0,0.14843991700035986
800,7,49951930.0,51545178.12,551676.4810269744,51606268.0,52814182.0,49951930.0,0.1692373330006376
900,8,49951930.0,51448471.98,550818.1853614852,51566163.0,52691148.0,49951930.0,0.190431292008725
1000,9,49951930.0,51355965.4,545210.0678566749,51429476.0,52457904.0,49951930.0,0.21145604200137313
1100,10,49951930.0,51286398.8,515536.1114865961,51363931.0,52410446.0,49951930.0,0.23277916701044887
1200,11,49951930.0,51174207.12,501112.7086771853,51229280.0,52317806.0,49951930.0,0.25348233300610445
1300,12,49951930.0,51105372.4,468871.4607940219,51099297.0,52120630.0,49951930.0,0.27486020801006816
1400,13,49755140.0,51014972.86,462089.06254039425,50981444.0,51893758.0,49755140.0,0.29597737500444055
1500,14,49755140.0,50966910.92,455258.8833990102,50968755.0,51893758.0,49755140.0,0.3173325000097975
1600,15,49471296.0,50877993.68,467947.78101302887,50913950.0,51817840.0,49471296.0,0.33832754200557247
1700,16,49471296.0,50821919.26,452701.5786572567,50865309.0,51817840.0,49471296.0,0.35912441700929776
1800,17,49471296.0,50781695.32,451113.5335041253,50799632.0,51817840.0,49471296.0,0.37980908300960436
1900,18,49471296.0,50737691.58,452158.4472725724,50779827.0,51817840.0,49471296.0,0.4007698750065174
2000,19,49471296.0,50675288.62,441698.0384671587,50695416.0,51817840.0,49471296.0,0.4217058330104919
2100,20,49471296.0,50618416.14,414670.3062991856,50636228.0,51635656.0,49471296.0,0.4435872920003021
2200,21,49471296.0,50589982.0,408494.4813363333,50598316.0,51635656.0,49471296.0,0.4648978330078535
2300,22,49471296.0,50555783.94,386028.10102679883,50524432.0,51635656.0,49471296.0,0.4859819170087576
2400,23,49471296.0,50515905.62,393784.9072881991,50504094.0,51635656.0,49471296.0,0.5073705000104383
2500,24,49471296.0,50470978.02,382269.8298817206,50470763.0,51635656.0,49471296.0,0.5289802920015063
2600,25,49471296.0,50451020.92,378659.5467278141,50460878.0,51635656.0,49471296.0,0.5497841670003254
2700,26,49157670.0,50404525.02,409940.9535890256,50441080.0,51391642.0,49157670.0,0.571099167005741
2800,27,49157670.0,50369895.26,382722.4176385444,50410103.0,51129084.0,49157670.0,0.5919938750012079
2900,28,49157670.0,50344384.64,396285.92923351494,50393235.0,51129084.0,49157670.0,0.6125042500061681
3000,29,49157670.0,50289897.56,403181.28786704177,50341942.0,51129084.0,49157670.0,0.633730875008041
3100,30,49157670.0,50248009.64,418103.2255497085,50277561.0,51129084.0,49157670.0,0.6545757920102915
3200,31,49157670.0,50222324.18,396438.36781170365,50264681.0,50976112.0,49157670.0,0.6759342500008643
3300,32,49157670.0,50200313.44,382017.9910840933,50243954.0,50915774.0,49157670.0,0.6967266249994282
3400,33,49157670.0,50161571.72,393644.6972605646,50216531.0,50915774.0,49157670.0,0.7175614170118934
3500,34,49157670.0,50144419.74,391027.18712976004,50201089.0,50891946.0,49157670.0,0.7390691250038799
3600,35,49157670.0,50132324.8,395887.23600772984,50197913.0,50891946.0,49157670.0,0.7607223750092089
3700,36,49157670.0,50099670.78,394652.6173169406,50181877.0,50891946.0,49157670.0,0.7818970420048572
3800,37,49157670.0,50081208.88,382634.45929286815,50148003.0,50891946.0,49157670.0,0.8034023750078632
3900,38,49157670.0,50057934.66,371040.7292912254,50118877.0,50759770.0,49157670.0,0.8244013330113376
4000,39,49157670.0,50044033.38,357537.5619426518,50110929.0,50759416.0,49157670.0,0.8453165000100853
4100,40,49157670.0,50027674.46,359603.06048340077,50099185.0,50759416.0,49157670.0,0.8658617080072872
4200,41,49157670.0,50002790.46,359460.42293480434,50089452.0,50673386.0,49157670.0,0.8865342920034891
4300,42,49157670.0,49988661.08,362411.2851156178,50074906.0,50673386.0,49157670.0,0.9068395830108784
4400,43,49060436.0,49972486.52,372919.517899358,50068651.0,50673386.0,49060436.0,0.9279722080100328
4500,44,49060436.0,49943411.72,358687.0469928927,49996417.0,50673386.0,49060436.0,0.9489483750076033
4600,45,49060436.0,49930736.36,354463.51040538773,49978002.0,50673386.0,49060436.0,0.9703873329999624
4700,46,49060436.0,49915894.78,342046.33304625796,49973561.0,50660688.0,49060436.0,0.9910902499977965
4800,47,48975440.0,49890876.28,350095.30476806115,49945332.0,50645762.0,48975440.0,1.0123621670063585
4900,48,48975440.0,49871197.22,353971.9717978693,49899728.0,50645762.0,48975440.0,1.0332232920045499
5000,49,48749764.0,49841131.34,383562.7521793069,49873866.0,50645762.0,48749764.0,1.0539942500035977
5100,50,48749764.0,49822531.96,373287.26790341834,49862423.0,50645762.0,48749764.0,1.0752772920095595
5200,51,48749764.0,49810802.64,373739.4927879985,49861229.0,50645762.0,48749764.0,1.0961720000050263
5300,52,48749764.0,49793194.22,369248.39722212957,49858386.0,50645762.0,48749764.0,1.117515000005369
5400,53,48749764.0,49779471.62,365128.661632986,49812532.0,50645762.0,48749764.0,1.1380463750101626
5500,54,48749764.0,49750105.92,355491.7234120558,49797844.0,50520554.0,48749764.0,1.158474625000963
5600,55,48749764.0,49716056.1,361787.427948996,49772133.0,50520554.0,48749764.0,1.1794342920038616
5700,56,48749764.0,49697149.42,365731.9650339899,49754053.0,50520554.0,48749764.0,1.200816875003511
5800,57,48749764.0,49673378.98,358804.25748772774,49708527.0,50520554.0,48749764.0,1.2213482080114773
5900,58,48601790.0,49622387.82,378298.8183404326,49653002.0,50520554.0,48601790.0,1.241986207998707
6000,59,48601790.0,49609197.9,377789.3658941051,49650621.0,50520554.0,48601790.0,1.2624302080075722
6100,60,48601790.0,49598503.7,370272.27318657015,49630855.0,50520554.0,48601790.0,1.2828920419997303
6200,61,48601790.0,49582886.92,370681.4550898839,49606696.0,50520554.0,48601790.0,1.303759957998409
6300,62,48601790.0,49552506.14,369726.3775264356,49574255.0,50520554.0,48601790.0,1.3243054580088938
6400,63,48601790.0,49502439.44,380887.87938878604,49505047.0,50520554.0,48601790.0,1.3447885000059614
6500,64,47869824.0,49461769.96,414222.2199821714,49475592.0,50520554.0,47869824.0,1.3655228749994421
