funcid,dim,milestone,error
25,10,1,4.717276e+02
25,10,2,4.562003e+02
25,10,3,4.527742e+02
25,10,5,4.502688e+02
25,10,10,4.498747e+02
25,10,20,4.498747e+02
25,10,30,4.498747e+02
25,10,40,4.498747e+02
25,10,50,4.498747e+02
25,10,60,4.498747e+02
25,10,70,4.498747e+02
25,10,80,4.498747e+02
25,10,90,4.498747e+02
25,10,100,4.498747e+02
