evaluaciones,generacion,min,promedio,desv_std,mediana,max,mejor_hasta_ahora,tiempo_s
200,1,51166120.0,52781860.44,737990.8980979415,52778631.0,55049356.0,51166120.0,0.04543458299303893
300,2,51103238.0,52441200.46,657926.1266058283,52436900.0,54031438.0,51103238.0,0.06680374999996275
400,3,51082722.0,52201299.48,588300.1105275857,52168633.0,53758178.0,51082722.0,0.09003574999223929
500,4,50991510.0,52060847.2,572051.0150203739,52055223.0,53758178.0,50991510.0,0.11272525000094902
600,5,50305082.0,51807232.0,583921.4277530839,51790209.0,53115732.0,50305082.0,0.13517187499383
700,6,50305082.0,51691684.98,542812.3581730612,51640732.0,53070450.0,50305082.0,0.15883924999798182
800,7,50305082.0,51589977.46,507823.09251973603,51540500.0,52943310.0,50305082.0,0.18165808299090713
900,8,49884220.0,51488927.74,493395.13048003666,51477462.0,52552634.0,49884220.0,0.204504374996759
1000,9,49589276.0,51400389.98,524921.2489273793,51395292.0,52552634.0,49589276.0,0.22779091699339915
1100,10,49589276.0,51342671.26,504515.63416176947,51379220.0,52552634.0,49589276.0,0.25025024999922607
1200,11,49589276.0,51301650.46,504502.4568933519,51364858.0,52552634.0,49589276.0,0.272387124990928
1300,12,49405514.0,51181627.72,496029.8436490305,51182065.0,52552634.0,49405514.0,0.29526116700435523
1400,13,49405514.0,51140791.54,492302.92754570174,51161200.0,52130702.0,49405514.0,0.3182852500031004
1500,14,49405514.0,51043816.0,491874.47612739576,51072343.0,52040970.0,49405514.0,0.3410055830026977
1600,15,49405514.0,50975810.82,468982.6845291493,50995278.0,52040970.0,49405514.0,0.36386533299810253
1700,16,49405514.0,50913292.46,451614.8488289423,50930221.0,52040970.0,49405514.0,0.3858423329947982
1800,17,49405514.0,50863776.82,453910.78334537015,50884946.0,52040970.0,49405514.0,0.4087222919915803
1900,18,49405514.0,50819512.86,450271.70736587525,50866264.0,52040970.0,49405514.0,0.43150199999217875
2000,19,49405514.0,50787063.3,445847.85208511434,50815464.0,52040970.0,49405514.0,0.45371533300203737
2100,20,49405514.0,50738217.98,410816.8157804152,50743258.0,51780726.0,49405514.0,0.47616137500153854
2200,21,49137590.0,50666575.78,427741.55774999416,50712750.0,51780726.0,49137590.0,0.4985442079923814
2300,22,49137590.0,50610756.56,408625.0024931984,50691044.0,51401128.0,49137590.0,0.521116207994055
2400,23,49137590.0,50558668.02,424181.5856529838,50649322.0,51401128.0,49137590.0,0.5431805830012308
2500,24,49137590.0,50529464.92,409864.6954299353,50626579.0,51401128.0,49137590.0,0.5658439580001868
2600,25,49137590.0,50447839.0,441814.5080014915,50535410.0,51362738.0,49137590.0,0.5883450830006041
2700,26,49137590.0,50405756.62,459153.97454838135,50481919.0,51362738.0,49137590.0,0.6099207079969347
2800,27,49137590.0,50352447.32,452200.18482439563,50445125.0,51169790.0,49137590.0,0.6336293329950422
2900,28,49137590.0,50295783.4,438360.1150995834,50335561.0,51169790.0,49137590.0,0.6560867499938468
3000,29,49137590.0,50260884.14,450613.58278225525,50321474.0,51169790.0,49137590.0,0.6778282080049394
3100,30,49137590.0,50220649.38,455161.72856774274,50284102.0,51169790.0,49137590.0,0.7011264169996139
3200,31,48903116.0,50149951.32,433425.06842721684,50190235.0,50974184.0,48903116.0,0.7252319999970496
3300,32,48903116.0,50137603.2,429845.2640115045,50166516.0,50974184.0,48903116.0,0.7479261669941479
3400,33,48903116.0,50078188.3,419036.27587228053,50095714.0,50936028.0,48903116.0,0.7707943330024136
3500,34,48903116.0,50031256.8,400245.5601094908,50071042.0,50936028.0,48903116.0,0.7930455419991631
3600,35,48903116.0,50013661.68,398811.0640966441,50050611.0,50936028.0,48903116.0,0.8146947499917587
3700,36,48826690.0,49939385.5,404762.3064649548,49991052.0,50936028.0,48826690.0,0.8374200419930276
3800,37,48826690.0,49894863.04,414860.0016537126,49950506.0,50936028.0,48826690.0,0.8610710420034593
3900,38,48826690.0,49872934.26,414004.5892783948,49878705.0,50936028.0,48826690.0,0.883189999993192
4000,39,48826690.0,49827898.06,430742.9907012723,49843627.0,50936028.0,48826690.0,0.9056954169936944
4100,40,48826690.0,49791456.06,421824.03555259435,49803068.0,50936028.0,48826690.0,0.9279738329933025
4200,41,48826690.0,49735680.62,419799.6627824939,49744209.0,50936028.0,48826690.0,0.9492208330048015
4300,42,48724086.0,49707560.78,430853.90582283406,49708563.0,50936028.0,48724086.0,0.9705448750028154
4400,43,48724086.0,49683627.24,407543.3039999337,49704494.0,50936028.0,48724086.0,0.9914035419933498
4500,44,48724086.0,49666419.6,398283.03503212385,49688043.0,50936028.0,48724086.0,1.0142105830018409
4600,45,48724086.0,49628570.1,375100.2435061193,49667935.0,50448920.0,48724086.0,1.0362193750042934
4700,46,48724086.0,49594098.08,360698.24753407604,49567025.0,50382682.0,48724086.0,1.057102541992208
4800,47,48724086.0,49561434.7,355673.9990979801,49541811.0,50382682.0,48724086.0,1.0782982079981593
4900,48,48724086.0,49523071.54,348922.9330054251,49521770.0,50252118.0,48724086.0,1.0988082919939188
5000,49,48724086.0,49516382.58,348888.0489024862,49509815.0,50252118.0,48724086.0,1.1191827919974457
5100,50,48724086.0,49481619.76,325864.70683058386,49480355.0,50129386.0,48724086.0,1.1394192500010831
5200,51,48724086.0,49473199.24,320033.71004227415,49480355.0,50129386.0,48724086.0,1.159746916993754
5300,52,48387386.0,49434045.2,331441.930189166,49441188.0,50129386.0,48387386.0,1.180525542004034
5400,53,48387386.0,49405896.42,352458.822041077,49411800.0,50129386.0,48387386.0,1.2012726249959087
5500,54,48387386.0,49375508.76,350810.9280938414,49377000.0,50129386.0,48387386.0,1.2218444579921197
5600,55,48387386.0,49351242.14,334167.41751490434,49347777.0,50091394.0,48387386.0,1.2427399580046767
5700,56,48387386.0,49332304.14,336845.0807313362,49316640.0,50091394.0,48387386.0,1.2632059169991408
5800,57,48387386.0,49322361.54,338596.9155090288,49312840.0,50091394.0,48387386.0,1.2839869169984013
5900,58,48387386.0,49299627.68,333738.21630394325,49303607.0,50091394.0,48387386.0,1.3044584169983864
6000,59,48387386.0,49270445.84,322801.12714260217,49261959.0,50091394.0,48387386.0,1.325416874999064
6100,60,48387386.0,49255524.26,315686.7615636303,49248543.0,50091394.0,48387386.0,1.3460304170002928
6200,61,48387386.0,49237610.22,305068.8419595675,49229528.0,50091394.0,48387386.0,1.3665637079975568
6300,62,48387386.0,49219393.76,300588.9173200209,49215682.0,50091394.0,48387386.0,1.3870350420038449
6400,63,48387386.0,49199277.68,301807.1298880423,49204731.0,50091394.0,48387386.0,1.4080450420005945
6500,64,48387386.0,49190076.96,295058.207584128,49202531.0,49950036.0,48387386.0,1.4284204169962322
6600,65,48387386.0,49150541.58,289277.73523329373,49174804.0,49950036.0,48387386.0,1.4488624170044204
6700,66,48387386.0,49129200.4,286144.2334585829,49159987.0,49950036.0,48387386.0,1.4698406669922406
6800,67,48387386.0,49122048.78,287402.21515470545,49152474.0,49950036.0,48387386.0,1.4902151669957675
6900,68,48387386.0,49111226.64,280285.88980209193,49138188.0,49950036.0,48387386.0,1.510442333004903
7000,69,48190208.0,49074556.2,301405.4023155524,49079732.0,49950036.0,48190208.0,1.5309060419967864
7100,70,48190208.0,49045784.64,287194.5249567101,49060768.0,49882544.0,48190208.0,1.5510091250034748
7200,71,48190208.0,49007479.5,263948.6535325195,49037578.0,49608130.0,48190208.0,1.573134582999046
7300,72,48160528.0,48991103.32,269526.3168060915,49037578.0,49608130.0,48160528.0,1.5946870420011692
7400,73,48160528.0,48967385.26,270519.4037866645,49020083.0,49608130.0,48160528.0,1.6158205829997314
7500,74,48160528.0,48937678.56,269462.3084467406,49011110.0,49474262.0,48160528.0,1.6377767919912003
7600,75,48160528.0,48922619.04,271689.3597468226,48982217.0,49474262.0,48160528.0,1.659226125004352
7700,76,48160528.0,48899554.72,273554.6179041429,48950823.0,49474262.0,48160528.0,1.6806982080015587
7800,77,48160528.0,48876529.34,282224.25208377186,48915222.0,49474262.0,48160528.0,1.7028519169980427
7900,78,48160528.0,48851639.66,279165.95221567474,48893486.0,49474262.0,48160528.0,1.724088999995729
8000,79,48160528.0,48826156.76,276555.1251820555,48851221.0,49427426.0,48160528.0,1.7448899169976357
8100,80,48027860.0,48795065.7,283236.4053417392,48823856.0,49427426.0,48027860.0,1.766774624993559
8200,81,48027860.0,48773296.84,275374.8421649559,48779522.0,49427426.0,48027860.0,1.787694874990848
8300,82,48027860.0,48749242.76,271254.5756752914,48773471.0,49427426.0,48027860.0,1.8088656670006458
8400,83,48027860.0,48731230.56,268399.97215604625,48746672.0,49427426.0,48027860.0,1.8300269579922315
8500,84,48027860.0,48712292.6,274117.73286681034,48731207.0,49427426.0,48027860.0,1.8517082920006942
8600,85,47813724.0,48669054.42,302306.0027762988,48689787.0,49427426.0,47813724.0,1.872501124991686
8700,86,47813724.0,48641426.7,301876.45686689444,48634553.0,49427426.0,47813724.0,1.8945895420038141
8800,87,47813724.0,48626585.14,295976.712280038,48624457.0,49427426.0,47813724.0,1.915690458001336
8900,88,47813724.0,48607787.24,293915.65141676686,48591122.0,49378322.0,47813724.0,1.9369944579957519
