ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,1,age,f1,1,1,linear,0.01,1e-06,25,-1,0.258873471836796,6.593225283125543,1.2124618673708285,0.006030666874721646,,,800,200
True,2,age,f1,1,1,linear,0.01,1e-06,25,0,0.9428110702767569,1.1647462668069242,0.22122903800254215,0.00390558410435915,,,800,200
True,3,age,f1,1,1,linear,0.01,1e-06,50,-1,0.2722838070951774,14.974997268570132,2.0300910276541035,0.0069792079739272594,,,800,200
True,4,age,f1,1,1,linear,0.01,1e-06,50,0,0.9541783544588617,1.1139490214789416,0.19877829342111075,0.006876499857753515,,,800,200
True,5,age,f1,1,1,linear,0.01,1e-06,100,-1,0.14494562364059102,176.16840822935077,14.928604992749634,0.01261766697280109,,,800,200
True,6,age,f1,1,1,linear,0.01,1e-06,100,0,0.9412825320633017,1.1138800985182755,0.19863518986086814,0.012871291022747755,,,800,200
True,7,age,f1,1,1,linear,0.01,0.0001,25,-1,0.23342533563339085,3.148016155491549,1.4129693488082933,0.0037503340281546116,,,800,200
True,8,age,f1,1,1,linear,0.01,0.0001,25,0,0.9396744918622967,1.4831234327242848,0.3545792541833688,0.0037172911688685417,,,800,200
True,9,age,f1,1,1,linear,0.01,0.0001,50,-1,0.2656251406285157,43.83457835835718,4.173104388657947,0.006796207977458835,,,800,200
True,10,age,f1,1,1,linear,0.01,0.0001,50,0,0.9518697967449188,1.4291408286097937,0.3224708977611769,0.006906624883413315,,,800,200
True,11,age,f1,1,1,linear,0.01,0.0001,100,-1,0.2692312307807696,11.58846992165132,2.078633373064216,0.012542292010039091,,,800,200
True,12,age,f1,1,1,linear,0.01,0.0001,100,0,0.9432370809270234,1.4224254739866928,0.31921603397796855,0.01279495912604034,,,800,200
True,13,age,f1,1,1,linear,0.01,0.001,25,-1,0.04691817295432385,15.20484272972932,3.7183085903922652,0.0037124170921742916,,,800,200
True,14,age,f1,1,1,linear,0.01,0.001,25,0,0.935486387159679,1.872629146053736,0.5273109271749843,0.003697499865666032,,,800,200
True,15,age,f1,1,1,linear,0.01,0.001,50,-1,0.518102452561314,4.6457048869248245,2.2060464046267336,0.006788083119317889,,,800,200
True,16,age,f1,1,1,linear,0.01,0.001,50,0,0.9484737118427963,1.9411588151907184,0.5641727956582174,0.006926291156560183,,,800,200
True,17,age,f1,1,1,linear,0.01,0.001,100,-1,0.16085952148803723,10.451791642806949,3.225636732459813,0.012507000006735325,,,800,200
True,18,age,f1,1,1,linear,0.01,0.001,100,0,0.9398724968124205,1.9666585981508469,0.5937975180416064,0.013222042005509138,,,800,200
True,19,age,f1,1,1,linear,0.01,0.01,25,-1,0.09842196054901373,2.5260832173203327,1.2426652059170042,0.003957125125452876,,,800,200
True,20,age,f1,1,1,linear,0.01,0.01,25,0,0.934452861321533,1.9953511912840234,0.5872942114748574,0.003901249961927533,,,800,200
True,21,age,f1,1,1,linear,0.01,0.01,50,-1,0.5241626040651017,2.524593470424869,1.248100547171344,0.007433624938130379,,,800,200
True,22,age,f1,1,1,linear,0.01,0.01,50,0,0.9477041926048152,2.209861776139672,0.718721161681767,0.007251833099871874,,,800,200
True,23,age,f1,1,1,linear,0.01,0.01,100,-1,0.7503892597314934,2.472724791530748,1.2403670714449175,0.012515750015154481,,,800,200
True,24,age,f1,1,1,linear,0.01,0.01,100,0,0.939042976074402,2.365747228213711,0.8231513207909923,0.01301816594786942,,,800,200
True,25,age,f1,1,1,linear,0.01,0.1,25,-1,0.11746043651091279,2.477456986125186,1.2249299352006164,0.0036954169627279043,,,800,200
True,26,age,f1,1,1,linear,0.01,0.1,25,0,0.9340253506337659,2.0108186883970394,0.5950345366058356,0.0037459591403603554,,,800,200
True,27,age,f1,1,1,linear,0.01,0.1,50,-1,0.5509622740568516,2.475949542928508,1.224981175205694,0.006696874974295497,,,800,200
