funcid,dim,milestone,error
28,10,1,7.969335e+02
28,10,2,7.647374e+02
28,10,3,7.476054e+02
28,10,5,7.060532e+02
28,10,10,6.461912e+02
28,10,20,5.898086e+02
28,10,30,5.837461e+02
28,10,40,5.837454e+02
28,10,50,5.837453e+02
28,10,60,5.837452e+02
28,10,70,5.837452e+02
28,10,80,5.837452e+02
28,10,90,5.837452e+02
28,10,100,5.837452e+02
